idx,x,y,series,label
1,1,3.677309,reward_curve,step_1
2,2,3.984699,reward_curve,step_2
3,3,4.174046,reward_curve,step_3
4,4,4.203689,reward_curve,step_4
5,5,4.378199,reward_curve,step_5
6,6,4.552609,reward_curve,step_6
7,7,4.65333,reward_curve,step_7
8,8,4.664776,reward_curve,step_8
9,9,4.877818,reward_curve,step_9
10,10,4.874387,reward_curve,step_10
11,11,4.890455,reward_curve,step_11
12,12,4.908506,reward_curve,step_12
13,13,4.979717,reward_curve,step_13
14,14,4.989976,reward_curve,step_14
15,15,4.965454,reward_curve,step_15
16,16,5.114407,reward_curve,step_16
17,17,5.092146,reward_curve,step_17
18,18,5.100967,reward_curve,step_18
19,19,5.095587,reward_curve,step_19
20,20,5.021917,reward_curve,step_20
21,21,5.173781,reward_curve,step_21
22,22,5.135608,reward_curve,step_22
23,23,5.086251,reward_curve,step_23
24,24,5.254518,reward_curve,step_24
25,25,5.154957,reward_curve,step_25
26,26,5.254427,reward_curve,step_26
27,27,5.341347,reward_curve,step_27
28,28,5.299743,reward_curve,step_28
29,29,5.354409,reward_curve,step_29
30,30,5.46982,reward_curve,step_30
