task_id,seed,runtime_ms,joules,correct
L1_1,11,17.377592,5.353112,False
L1_2,11,36.482966,9.907381,False
L1_3,11,16.507848,4.496619,True
L1_4,11,30.363689,4.811759,True
L1_5,11,34.959955,6.207947,False
L1_6,11,18.859409,3.528647,True
L1_7,11,29.019869,5.224909,True
L1_8,11,34.234571,10.782629,True
L1_9,11,12.348809,3.150513,True
L1_10,11,23.866622,8.79473,True
L1_11,11,21.917983,8.846128,True
L1_12,11,19.093078,4.004034,True
L1_13,11,25.153695,9.021564,True
L1_14,11,28.821757,6.804897,False
L1_16,11,18.998221,6.943058,True
L1_17,11,23.105107,11.34928,True
L1_18,11,19.155084,3.383036,True
L1_19,11,29.365176,4.851104,True
L1_21,11,16.252855,6.169177,True
L1_22,11,17.006774,8.898955,True
L1_23,11,31.942773,6.137727,True
L1_24,11,15.245813,5.268895,True
L1_25,11,17.801352,7.265789,True
L1_26,11,29.833497,10.289278,False
L1_27,11,12.352538,5.919605,True
L1_28,11,16.655835,5.641105,False
L1_29,11,23.711866,10.790088,True
L1_30,11,19.835101,3.119867,True
L1_31,11,24.785065,4.973931,True
L1_32,11,36.286291,5.416883,False
L1_33,11,12.595604,3.865335,True
L1_34,11,28.86858,6.231462,True
L1_35,11,22.289612,6.148582,True
L1_36,11,17.382961,4.493182,True
L1_38,11,26.206034,10.831473,False
L1_39,11,18.782231,4.746519,False
L1_40,11,20.652999,5.951396,True
L2_1,11,31.053535,8.486253,True
L2_3,11,23.143099,6.367356,True
L2_4,11,35.967991,9.293776,False
L2_5,11,45.878637,7.174182,False
L2_6,11,20.620841,7.91483,False
L2_7,11,31.321289,8.703966,True
L2_8,11,34.406248,10.796311,True
L2_9,11,19.230936,7.86432,True
L2_12,11,26.710314,6.134761,True
L2_13,11,25.598882,8.310509,False
L2_14,11,36.729693,7.901765,True
L2_15,11,29.784148,7.131897,True
L2_16,11,26.183265,8.704684,True
L2_17,11,43.937509,7.929384,False
L2_19,11,37.311665,7.088371,True
L2_20,11,44.077119,13.36833,False
L3_1,11,41.354812,10.123438,True
L3_2,11,37.09806,5.19333,True
L3_3,11,26.235162,10.449816,False
L3_4,11,22.5567,8.589247,True
L3_6,11,24.447455,7.823803,True
L3_8,11,37.304839,8.441528,False
L3_10,11,27.481276,5.787012,False
L4_2,11,41.021575,10.953125,False
L4_3,11,34.440603,16.450281,False
L4_4,11,44.536017,13.717016,False
L4_5,11,42.493019,11.886926,False
L4_6,11,36.28128,10.677754,False
L4_7,11,53.620744,12.115725,False
L4_8,11,42.915303,13.903688,False
L4_9,11,33.395126,9.867442,False
L1_1,22,20.74036,4.017317,True
L1_2,22,34.809023,5.853451,True
L1_3,22,18.364656,3.140142,True
L1_4,22,20.154135,8.040013,True
L1_5,22,19.728114,7.242801,True
L1_6,22,17.802383,4.949187,False
L1_7,22,21.956614,7.34621,True
L1_8,22,28.946013,9.085064,True
L1_10,22,16.768562,3.935933,True
L1_12,22,15.264332,5.6626,False
L1_13,22,24.243746,5.856342,False
L1_14,22,28.061252,4.902952,False
L1_15,22,12.244461,5.218767,False
L1_16,22,18.496781,5.925067,False
L1_17,22,31.502597,10.625464,True
L1_18,22,20.339793,4.252223,False
L1_19,22,16.408761,3.648494,True
L1_20,22,33.602421,5.370025,False
L1_21,22,12.469258,3.396108,False
L1_22,22,19.4032,4.909153,False
L1_23,22,20.751154,9.897034,False
L1_25,22,15.367819,6.337503,False
L1_26,22,21.16693,10.326244,False
L1_27,22,12.649552,3.091342,True
L1_28,22,17.326726,6.844789,True
L1_29,22,24.30925,8.76409,False
L1_30,22,16.320805,5.214866,False
L1_31,22,24.213954,6.282225,False
L1_32,22,32.872572,9.513527,False
L1_33,22,12.148888,4.777257,False
L1_34,22,28.182232,7.826881,False
L1_35,22,22.983858,6.383538,True
L1_36,22,16.443619,4.905868,False
L1_37,22,23.69286,6.687382,True
L1_38,22,29.273747,7.325012,False
L1_39,22,15.098134,3.683059,True
L1_40,22,17.490962,4.885879,False
L2_1,22,28.1987,9.762525,False
L2_2,22,33.959606,8.646505,False
L2_3,22,26.951752,8.338327,True
L2_4,22,21.357118,9.090076,True
L2_5,22,33.582621,8.987994,True
L2_6,22,15.346308,5.113795,True
L2_9,22,16.932755,7.004801,True
L2_10,22,31.985597,8.836935,True
L2_11,22,40.738888,6.078822,False
L2_12,22,27.682913,6.629709,True
L2_15,22,19.997559,8.235527,False
L2_16,22,26.98269,9.86957,False
L2_17,22,28.516875,11.55598,False
L2_18,22,26.204397,7.767242,False
L2_19,22,29.690885,6.480698,False
L3_1,22,40.735144,8.735106,True
L3_2,22,31.419717,7.29572,True
L3_3,22,27.342746,8.745737,True
L3_4,22,26.631851,10.191074,True
L3_5,22,43.684062,6.469409,True
L3_6,22,24.786581,8.218661,False
L3_7,22,38.665345,9.015362,True
L3_9,22,41.650385,10.761617,False
L3_10,22,27.005089,9.581766,True
L4_1,22,37.011188,12.193625,False
L4_2,22,30.812262,12.10684,True
L4_3,22,31.286643,12.266379,False
L4_4,22,31.933545,7.195558,True
L4_5,22,39.479163,11.593547,False
L4_6,22,43.828631,8.453981,False
L4_7,22,49.932547,14.855155,False
L4_8,22,32.936956,11.973709,False
L4_9,22,51.27335,15.158869,False
L1_1,33,22.550083,5.82575,True
L1_3,33,12.804287,2.772348,False
L1_4,33,24.232457,6.71163,False
L1_5,33,25.507842,5.563984,True
L1_6,33,14.739283,3.814538,False
L1_7,33,17.574176,4.998483,True
L1_9,33,19.831662,2.797225,True
L1_10,33,17.818939,5.714101,False
L1_12,33,11.102683,5.244531,True
L1_13,33,25.418395,7.619038,False
L1_14,33,31.299975,8.134688,False
L1_15,33,13.008716,4.476498,True
L1_16,33,25.180853,3.667889,True
L1_17,33,30.577563,5.195049,True
L1_18,33,14.238348,5.629,False
L1_19,33,26.113534,5.130228,True
L1_20,33,23.635745,6.218539,True
L1_21,33,11.733886,4.348134,False
L1_22,33,27.431589,3.805747,True
L1_23,33,23.306119,9.420398,True
L1_24,33,16.430909,2.560709,False
L1_25,33,21.846123,5.087533,False
L1_26,33,23.772586,6.328089,False
L1_27,33,19.572983,3.460763,False
L1_28,33,17.131963,5.080758,False
L1_30,33,19.726371,2.676361,True
L1_31,33,20.439708,7.931169,False
L1_32,33,19.058107,8.083841,False
L1_33,33,16.329507,4.436577,False
L1_34,33,22.570518,5.845349,False
L1_35,33,20.526149,5.486046,False
L1_36,33,18.32827,2.983401,False
L1_37,33,22.601101,7.893852,False
L1_38,33,26.230803,6.923337,True
L1_39,33,17.017558,2.701685,False
L1_40,33,23.013343,6.037889,False
L2_1,33,28.625872,8.074251,True
L2_2,33,22.909089,7.256257,False
L2_4,33,32.026388,9.116049,False
L2_5,33,36.213928,5.889013,False
L2_6,33,16.056555,7.449496,False
L2_8,33,26.276851,6.889206,False
L2_9,33,15.795368,6.768672,True
L2_10,33,23.156183,8.75895,True
L2_11,33,39.49249,10.631435,True
L2_12,33,16.069274,4.562447,True
L2_13,33,19.668813,5.174532,False
L2_15,33,21.311374,5.656371,False
L2_18,33,23.697521,5.683889,True
